dataset_id	individual	arm	source_assemblies	b73_hit_ratio	b73_similarity_to_source	fit_slope	fit_intercept	b73_predicted_hit_ratio	b73_residual
IDX-HYB	B73xCML103	chain_ordinary_256	B73,CML103	0.8692	0.9919	23.4671	-22.6694	0.6086	0.2605
IDX-HYB	B73xCML103	chain_ordinary_5000	B73,CML103	0.8444	0.9919	24.7634	-23.9458	0.6181	0.2263
IDX-HYB	B73xCML103	refmap	B73,CML103	0.6791	0.9919	34.5314	-33.5882	0.6650	0.0141
IDX-HYB	B73xOh43	chain_ordinary_256	B73,Oh43	0.8813	0.9922	25.8197	-24.9807	0.6367	0.2446
IDX-HYB	B73xOh43	chain_ordinary_5000	B73,Oh43	0.8586	0.9922	26.6363	-25.7847	0.6429	0.2157
IDX-HYB	B73xOh43	refmap	B73,Oh43	0.7009	0.9922	33.7018	-32.7651	0.6727	0.0283
IDX-HYB	B97xCML103	chain_ordinary_256	B97,CML103	0.6871	0.9842	31.7755	-30.7878	0.4853	0.2017
IDX-HYB	B97xCML103	chain_ordinary_5000	B97,CML103	0.6416	0.9842	32.0136	-31.0285	0.4790	0.1626
IDX-HYB	B97xCML103	refmap	B97,CML103	0.3942	0.9842	35.9521	-34.9752	0.4085	-0.0143
IDX-HYB	Il14HxB97	chain_ordinary_256	Il14H,B97	0.6808	0.9838	29.7617	-28.7999	0.4787	0.2021
IDX-HYB	Il14HxB97	chain_ordinary_5000	Il14H,B97	0.6373	0.9838	29.9738	-29.0141	0.4733	0.1641
IDX-HYB	Il14HxB97	refmap	Il14H,B97	0.3877	0.9838	34.3630	-33.4036	0.4017	-0.0140
IDX-HYB	Oh43xIl14H	chain_ordinary_256	Oh43,Il14H	0.6761	0.9837	29.8402	-28.8779	0.4756	0.2005
IDX-HYB	Oh43xIl14H	chain_ordinary_5000	Oh43,Il14H	0.6328	0.9837	30.0462	-29.0858	0.4702	0.1625
IDX-HYB	Oh43xIl14H	refmap	Oh43,Il14H	0.3836	0.9837	34.5077	-33.5471	0.3977	-0.0141
IDX-INBRED	B73	chain_ordinary_256	B73	0.9967	1.0000	23.6925	-22.9212	0.7713	0.2254
IDX-INBRED	B73	chain_ordinary_5000	B73	0.9965	1.0000	23.6840	-22.9129	0.7711	0.2254
IDX-INBRED	B73	refmap	B73	0.9885	1.0000	23.7780	-23.0138	0.7642	0.2242
IDX-INBRED	B97	chain_ordinary_256	B97	0.7111	0.9845	30.4418	-29.4720	0.4977	0.2134
IDX-INBRED	B97	chain_ordinary_5000	B97	0.6674	0.9845	30.7618	-29.7923	0.4924	0.1750
IDX-INBRED	B97	refmap	B97	0.4214	0.9845	34.7969	-33.8295	0.4277	-0.0064
IDX-INBRED	CML103	chain_ordinary_256	CML103	0.6605	0.9839	31.0735	-30.1015	0.4715	0.1889
IDX-INBRED	CML103	chain_ordinary_5000	CML103	0.6135	0.9839	31.6616	-30.6874	0.4642	0.1493
IDX-INBRED	CML103	refmap	CML103	0.3668	0.9839	36.7981	-35.8171	0.3882	-0.0214
IDX-INBRED	Il14H	chain_ordinary_256	Il14H	0.6469	0.9830	29.6061	-28.6444	0.4598	0.1871
IDX-INBRED	Il14H	chain_ordinary_5000	Il14H	0.6045	0.9830	29.9379	-28.9758	0.4545	0.1499
IDX-INBRED	Il14H	refmap	Il14H	0.3542	0.9830	34.7415	-33.7762	0.3763	-0.0222
IDX-INBRED	Oh43	chain_ordinary_256	Oh43	0.7046	0.9843	30.0281	-29.0677	0.4899	0.2148
IDX-INBRED	Oh43	chain_ordinary_5000	Oh43	0.6605	0.9843	30.3097	-29.3500	0.4847	0.1757
IDX-INBRED	Oh43	refmap	Oh43	0.4145	0.9843	34.2178	-33.2630	0.4186	-0.0041
IDX-RIL	B73xCML103	chain_ordinary_256	B73,CML103	0.8625	0.9919	24.3609	-23.5452	0.6195	0.2430
IDX-RIL	B73xCML103	chain_ordinary_5000	B73,CML103	0.8364	0.9919	25.6967	-24.8606	0.6291	0.2074
IDX-RIL	B73xCML103	refmap	B73,CML103	0.6662	0.9919	35.6916	-34.7279	0.6762	-0.0101
IDX-RIL	B73xOh43	chain_ordinary_256	B73,Oh43	0.8840	0.9922	25.7386	-24.8982	0.6387	0.2454
