dataset_id	individual	arm	total_placed	pav_reads	pav_pct_of_placed	b73_pct_of_placed
IDX-HYB	B73xCML103	chain_ordinary_256	919897	120358	13.0839	86.9161
IDX-HYB	B73xCML103	chain_ordinary_5000	946907	147368	15.5631	84.4369
IDX-HYB	B73xOh43	chain_ordinary_256	934188	110890	11.8702	88.1298
IDX-HYB	B73xOh43	chain_ordinary_5000	958874	135576	14.1391	85.8609
IDX-HYB	B97xCML103	chain_ordinary_256	719779	225235	31.2922	68.7078
IDX-HYB	B97xCML103	chain_ordinary_5000	770843	276299	35.8437	64.1563
IDX-HYB	Il14HxB97	chain_ordinary_256	711413	227083	31.9200	68.0800
IDX-HYB	Il14HxB97	chain_ordinary_5000	759956	275626	36.2687	63.7313
IDX-HYB	Oh43xIl14H	chain_ordinary_256	710723	230204	32.3901	67.6099
IDX-HYB	Oh43xIl14H	chain_ordinary_5000	759367	278848	36.7211	63.2789
IDX-INBRED	B73	chain_ordinary_256	1131560	3743	0.3308	99.6692
IDX-INBRED	B73	chain_ordinary_5000	1131805	3988	0.3524	99.6476
IDX-INBRED	B97	chain_ordinary_256	739577	213688	28.8933	71.1067
IDX-INBRED	B97	chain_ordinary_5000	788006	262117	33.2633	66.7367
IDX-INBRED	CML103	chain_ordinary_256	700748	237926	33.9531	66.0469
IDX-INBRED	CML103	chain_ordinary_5000	754423	291601	38.6522	61.3478
IDX-INBRED	Il14H	chain_ordinary_256	691315	244100	35.3095	64.6905
IDX-INBRED	Il14H	chain_ordinary_5000	739850	292635	39.5533	60.4467
IDX-INBRED	Oh43	chain_ordinary_256	734829	217053	29.5379	70.4621
IDX-INBRED	Oh43	chain_ordinary_5000	783969	266193	33.9545	66.0455
IDX-RIL	B73xCML103	chain_ordinary_256	901242	123924	13.7504	86.2496
IDX-RIL	B73xCML103	chain_ordinary_5000	929307	151989	16.3551	83.6449
IDX-RIL	B73xOh43	chain_ordinary_256	929192	107742	11.5952	88.4048
IDX-RIL	B73xOh43	chain_ordinary_5000	953502	132052	13.8492	86.1508
IDX-RIL	B97xCML103	chain_ordinary_256	704591	223678	31.7458	68.2542
IDX-RIL	B97xCML103	chain_ordinary_5000	755368	274455	36.3339	63.6661
IDX-RIL	Il14HxB97	chain_ordinary_256	703152	229013	32.5695	67.4305
IDX-RIL	Il14HxB97	chain_ordinary_5000	751456	277317	36.9040	63.0960
IDX-RIL	Oh43xIl14H	chain_ordinary_256	708530	223118	31.4903	68.5097
IDX-RIL	Oh43xIl14H	chain_ordinary_5000	755872	270460	35.7812	64.2188
MIX-HYB	B73xTx303	chain_ordinary_256	923197	99776	10.8077	89.1923
MIX-HYB	B73xTx303	chain_ordinary_5000	948668	125247	13.2024	86.7976
MIX-HYB	B97xCML459	chain_ordinary_256	719894	200435	27.8423	72.1577
MIX-HYB	B97xCML459	chain_ordinary_5000	767053	247594	32.2786	67.7214
MIX-HYB	CML103xIa453	chain_ordinary_256	723807	233739	32.2930	67.7070
MIX-HYB	CML103xIa453	chain_ordinary_5000	774465	284397	36.7217	63.2783
MIX-HYB	Il14HxEP1	chain_ordinary_256	706380	223803	31.6831	68.3169
MIX-HYB	Il14HxEP1	chain_ordinary_5000	753612	271035	35.9648	64.0352
MIX-HYB	Oh43xA188	chain_ordinary_256	748526	202344	27.0323	72.9677
MIX-HYB	Oh43xA188	chain_ordinary_5000	795578	249396	31.3478	68.6522
MIX-RIL	B73xTx303	chain_ordinary_256	908138	108132	11.9070	88.0930
MIX-RIL	B73xTx303	chain_ordinary_5000	936558	136552	14.5802	85.4198
MIX-RIL	B97xCML459	chain_ordinary_256	713676	199034	27.8886	72.1114
MIX-RIL	B97xCML459	chain_ordinary_5000	760253	245611	32.3065	67.6935
MIX-RIL	CML103xIa453	chain_ordinary_256	715684	230547	32.2135	67.7865
MIX-RIL	CML103xIa453	chain_ordinary_5000	766580	281443	36.7141	63.2859
MIX-RIL	Il14HxEP1	chain_ordinary_256	698930	220060	31.4853	68.5147
MIX-RIL	Il14HxEP1	chain_ordinary_5000	745385	266515	35.7553	64.2447
MIX-RIL	Oh43xA188	chain_ordinary_256	732028	201548	27.5328	72.4672
MIX-RIL	Oh43xA188	chain_ordinary_5000	779132	248652	31.9140	68.0860
OUT-HYB	A188xEP1	chain_ordinary_256	746718	196838	26.3604	73.6396
OUT-HYB	A188xEP1	chain_ordinary_5000	793133	243253	30.6699	69.3301
OUT-HYB	CML459xIa453	chain_ordinary_256	722718	207722	28.7418	71.2582
OUT-HYB	CML459xIa453	chain_ordinary_5000	769418	254422	33.0668	66.9332
OUT-HYB	EP1xIa453	chain_ordinary_256	734757	217154	29.5545	70.4455
OUT-HYB	EP1xIa453	chain_ordinary_5000	782319	264716	33.8373	66.1627
OUT-HYB	Tx303xA188	chain_ordinary_256	743832	192499	25.8794	74.1206
OUT-HYB	Tx303xA188	chain_ordinary_5000	791974	240641	30.3850	69.6150
OUT-HYB	Tx303xCML459	chain_ordinary_256	711798	192924	27.1038	72.8962
OUT-HYB	Tx303xCML459	chain_ordinary_5000	760105	241231	31.7365	68.2635
OUT-INBRED	A188	chain_ordinary_256	764912	188198	24.6039	75.3961
OUT-INBRED	A188	chain_ordinary_5000	810640	233926	28.8570	71.1430
OUT-INBRED	CML459	chain_ordinary_256	704247	188657	26.7885	73.2115
