dataset_id	class	kind	individual	coverage	row_key	error_rate	partial_error_rate	compared_sites	event_error_rate_strict	event_error_rate_fractional	events_total	events_observable	events_unobservable	events_total_SNP	events_observable_SNP	events_correct_strict_SNP	events_total_INS	events_observable_INS	events_correct_strict_INS	events_total_DEL	events_observable_DEL	events_correct_strict_DEL	false_positive_runs	invariant_check_delta	h1_events_total_all	h2_events_total_all	h1_eq_h2_events	wall_seconds	status
IDX-HYB	indexed	hybrid	B73xCML103	0.01	IDX-HYB__B73xCML103__0.01x	0.015478524862279297	0.0077392624311396485	156116298	0.01672035723778298	0.016699162673837864	26505480	23774193	2731287	23418469	22968115	22577190	1533622	238662	236834	1553389	567416	562656	5189	0.0	0	26505480	False	1732.03	ok
IDX-HYB	indexed	hybrid	B73xCML103	0.1	IDX-HYB__B73xCML103__0.1x	0.0729844835957576	0.036492485136438324	158215780	0.07654316785584347	0.07629709974699384	26505480	24091595	2413885	23418469	23268877	21473353	1533622	242954	228563	1553389	579764	545632	94148	0.0	0	26505480	False	1726.65	ok
IDX-HYB	indexed	hybrid	B73xCML103	0.5	IDX-HYB__B73xCML103__0.5x	0.09494428379033948	0.04747216713056046	158507552	0.09997351183985159	0.09960661002892623	26505480	24154188	2351292	23418469	23329810	20987241	1533622	243534	222539	1553389	580844	529629	102267	0.0	0	26505480	False	1743.15	ok
IDX-HYB	indexed	hybrid	B73xCML103	1.0	IDX-HYB__B73xCML103__1.0x	0.20185264516139978	0.10093746000110504	157980927	0.21965061070280623	0.21887898980884146	26505480	24071201	2434279	23418469	23250403	18138266	1533622	242396	189587	1553389	578402	456094	159922	0.0	0	26505480	False	1742.49	ok
IDX-HYB	indexed	hybrid	B73xCML103	2.0	IDX-HYB__B73xCML103__2.0x	0.39951517360859723	0.19983508253481685	156931226	0.46243692194201214	0.4606263707602857	26505480	23869037	2636443	23418469	23055151	12395478	1533622	240247	128155	1553389	573639	307480	424345	0.0	0	26505480	False	1717.87	ok
IDX-HYB	indexed	hybrid	B73xOh43	0.01	IDX-HYB__B73xOh43__0.01x	0.015606236236224702	0.0078031181181124065	155889733	0.02742633087597357	0.027390668944401342	24370137	21772690	2597447	21535677	21043724	20456221	1408332	213572	210530	1426128	515394	508794	8161	0.0	0	24370137	False	1723.85	ok
IDX-HYB	indexed	hybrid	B73xOh43	0.1	IDX-HYB__B73xOh43__0.1x	0.08258384788065043	0.04129193027237743	157926681	0.09864736051304457	0.09839744635590963	24370137	22155423	2214714	21535677	21409964	19277307	1408332	218104	201932	1426128	527355	490610	75853	0.0	0	24370137	False	1744.28	ok
IDX-HYB	indexed	hybrid	B73xOh43	0.5	IDX-HYB__B73xOh43__0.5x	0.09916417210552764	0.04958654391956774	158147390	0.1136462030506119	0.1133114903450736	24370137	22199677	2170460	21535677	21453225	19003147	1408332	218420	196378	1426128	528032	477243	64421	0.0	0	24370137	False	1774.66	ok
IDX-HYB	indexed	hybrid	B73xOh43	1.0	IDX-HYB__B73xOh43__1.0x	0.20893293056584983	0.10449917498406713	157629077	0.24753586356112245	0.2466673042835944	24370137	22088367	2281770	21535677	21345934	16059282	1408332	217168	162465	1426128	525265	398957	160602	0.0	0	24370137	False	1736.02	ok
IDX-HYB	indexed	hybrid	B73xOh43	2.0	IDX-HYB__B73xOh43__2.0x	0.3785765610002253	0.18937737744901995	156823552	0.4673759556745066	0.4655811549519119	24370137	21927968	2442169	21535677	21191010	11285630	1408332	215528	114439	1426128	521430	279294	360074	0.0	0	24370137	False	1729.59	ok
IDX-HYB	indexed	hybrid	B97xCML103	0.01	IDX-HYB__B97xCML103__0.01x	0.01209535332259204	0.0060476863639906675	154596228	0.01013812996808272	0.010125811918412997	51017762	45183678	5834084	45094207	43660711	43208460	2943223	450730	448897	2980332	1072237	1068243	4919	0.0	24512282	26505480	False	2001.97	ok
IDX-HYB	indexed	hybrid	B97xCML103	0.1	IDX-HYB__B97xCML103__0.1x	0.0551035966457184	0.02755809728960712	157089256	0.04907895548134644	0.04892539544198149	51017762	46109009	4908753	45094207	44536796	42330693	2943223	464220	445953	2980332	1107993	1069381	54402	0.0	24512282	26505480	False	2007.35	ok
IDX-HYB	indexed	hybrid	B97xCML103	0.5	IDX-HYB__B97xCML103__0.5x	0.0787463937634314	0.03966299233584969	157266097	0.06811741613431066	0.06788487193050341	51017762	46171951	4845811	45094207	44598160	41538826	2943223	464751	436893	2980332	1109040	1051118	46324	0.0	24512282	26505480	False	2004.98	ok
IDX-HYB	indexed	hybrid	B97xCML103	1.0	IDX-HYB__B97xCML103__1.0x	0.1738281208241742	0.08730094042432657	156686823	0.14543257311075608	0.1448231270072199	51017762	45990873	5026889	45094207	44423477	37950671	2943223	462766	391757	2980332	1104630	959874	191126	0.0	24512282	26505480	False	2023.59	ok
IDX-HYB	indexed	hybrid	B97xCML103	2.0	IDX-HYB__B97xCML103__2.0x	0.33189551754090607	0.1666836067181957	155607555	0.29492094624803145	0.29369688324842935	51017762	45648877	5368885	45094207	44094157	31062490	2943223	458791	318558	2980332	1095929	805019	368500	0.0	24512282	26505480	False	2022.46	ok
IDX-HYB	indexed	hybrid	Il14HxB97	0.01	IDX-HYB__Il14HxB97__0.01x	0.020706426952818102	0.010353219967486615	154057627	0.02156060739042487	0.021514914457488432	50787992	44970811	5817181	44881251	43485335	42534735	2932620	432622	425873	2974121	1052854	1040605	15514	0.0	26275710	24512282	False	1954.61	ok
IDX-HYB	indexed	hybrid	Il14HxB97	0.1	IDX-HYB__Il14HxB97__0.1x	0.07806520107806658	0.03903261013759218	156273459	0.06493800725575205	0.06475040416011846	50787992	45626146	5161846	44881251	44106049	41218083	2932620	441067	417895	2974121	1079030	1027297	63994	0.0	26275710	24512282	False	1967.98	ok
IDX-HYB	indexed	hybrid	Il14HxB97	0.5	IDX-HYB__Il14HxB97__0.5x	0.09722647286188912	0.048946863091138715	156613683	0.08369349272853377	0.08342148015484918	50787992	45766079	5021913	44881251	44242341	40513389	2932620	442184	409775	2974121	1081554	1012592	60938	0.0	26275710	24512282	False	1997.49	ok
IDX-HYB	indexed	hybrid	Il14HxB97	1.0	IDX-HYB__Il14HxB97__1.0x	0.18541245864556244	0.09314850443305889	156143763	0.15390783211266235	0.1533346230041358	50787992	45621356	5166636	44881251	44102852	37292333	2932620	440653	373254	2974121	1077851	934285	173777	0.0	26275710	24512282	False	2006.71	ok
IDX-HYB	indexed	hybrid	Il14HxB97	2.0	IDX-HYB__Il14HxB97__2.0x	0.33738795759549434	0.16945298001729348	155238881	0.29176559555421955	0.29058205690490035	50787992	45328014	5459978	44881251	43819842	31009744	2932620	437473	303121	2974121	1070699	789994	334215	0.0	26275710	24512282	False	1993.48	ok
IDX-HYB	indexed	hybrid	Oh43xIl14H	0.01	IDX-HYB__Oh43xIl14H__0.01x	0.0217053288123622	0.01085266764827253	154221437	0.01914394221747584	0.019110351255831493	50645847	44799289	5846558	44741190	43326843	42483506	2931351	426420	422025	2973306	1046026	1036123	29349	0.0	24370137	26275710	False	1972.47	ok
IDX-HYB	indexed	hybrid	Oh43xIl14H	0.1	IDX-HYB__Oh43xIl14H__0.1x	0.07313754477250478	0.03657126353178097	156353772	0.061921742901736354	0.06176589586499537	50645847	45533812	5112035	44741190	44023124	41270594	2931351	436476	415618	2973306	1074212	1028067	55656	0.0	24370137	26275710	False	2011.28	ok
IDX-HYB	indexed	hybrid	Oh43xIl14H	0.5	IDX-HYB__Oh43xIl14H__0.5x	0.0917639817208612	0.046237372793195286	156594905	0.07835121386725818	0.07810275245917453	50645847	45626900	5018947	44741190	44114370	40633878	2931351	436924	406271	2973306	1075606	1011828	65627	0.0	24370137	26275710	False	2018.42	ok
IDX-HYB	indexed	hybrid	Oh43xIl14H	1.0	IDX-HYB__Oh43xIl14H__1.0x	0.1733428096151427	0.08723169106882445	156163922	0.1431197875621234	0.14260220541774316	50645847	45485674	5160173	44741190	43979902	37669048	2931351	434712	370721	2973306	1071060	936005	159865	0.0	24370137	26275710	False	1999.32	ok
