dataset_id	individual	variant	row_key	status	error_rate	partial_error_rate	compared_sites	excluded_no_info	excluded_partial_info	imputed_records	gt_allele_matches	gt_allele_mismatches	matchable_ceiling	bed_to_vcf_s	compare_s	score_total_s	wall_seconds
IDX-INBRED	B73	identity	IDX-INBRED__B73__identity	cached	0.0	0.0	26060863	0	0	26060863	26060863	0		989.1	214.58	1203.69	
IDX-HYB	B73xCML103	hybrid	IDX-HYB__B73xCML103__hybrid	ok	2.321079131117898e-07	1.160539565558949e-07	25850045	210818	210818	26060863	25850039	6	0.8877569092200289	945.01	276.98	1221.99	1222.47
IDX-HYB	B73xOh43	hybrid	IDX-HYB__B73xOh43__hybrid	ok	1.163812778370854e-07	5.819063886303155e-08	25777342	283521	283521	26060863	25777339	3	0.9082973600136972	976.27	273.31	1249.57	1250.05
IDX-INBRED	Oh43	identity	IDX-INBRED__Oh43__identity	ok	1.163812778370854e-07	1.163812778370854e-07	25777342	283521	0	26060863	25777339	3	0.9082973600136972	969.59	302.27	1271.86	1272.35
IDX-INBRED	B97	identity	IDX-INBRED__B97__identity	ok	7.726551176645557e-08	7.726551176645557e-08	25884770	176093	0	26060863	25884768	2	0.8812072819170452	997.62	294.06	1291.67	1292.16
IDX-INBRED	CML103	identity	IDX-INBRED__CML103__identity	ok	2.321079131117898e-07	2.321079131117898e-07	25850045	210818	0	26060863	25850039	6	0.8877569092200289	990.85	303.13	1293.98	1294.44
IDX-INBRED	Il14H	identity	IDX-INBRED__Il14H__identity	ok	0.0	0.0	25862381	198482	0	26060863	25862381	0	0.8967345449515775	988.53	313.21	1301.75	1302.22
IDX-HYB	Oh43xIl14H	hybrid	IDX-HYB__Oh43xIl14H__hybrid	ok	1.1685211620537928e-07	5.842605810268964e-08	25673476	387387	292771	26060863	25673473	3	0.9024633238779077	973.14	333.17	1306.31	1306.58
IDX-HYB	B97xCML103	hybrid	IDX-HYB__B97xCML103__hybrid	ok	2.722543421818102e-07	1.5557390986575825e-07	25711252	349611	312311	26060863	25711245	7	0.8846683178136352	984.57	325.81	1310.38	1310.66
IDX-HYB	Il14HxB97	hybrid	IDX-HYB__Il14HxB97__hybrid	ok	7.763654785719609e-08	3.8818273928598046e-08	25761063	299800	225025	26060863	25761061	2	0.8890662955450316	968.78	330.49	1299.27	1299.54
IDX-RIL	B73xOh43	exact	IDX-RIL__B73xOh43__exact	ok	2.4276393801425655e-05	1.2157586991579095e-05	25786367	274496	100920	26060863	25785741	626	0.9109678922678989	1062.44	286.83	1349.27	1349.53
IDX-RIL	B73xCML103	exact	IDX-RIL__B73xCML103__exact	ok	0.00023489189154812795	0.0001174652752582439	25867219	193644	106140	26060863	25861143	6076	0.8954602063249181	1058.55	281.69	1340.23	1340.51
IDX-RIL	B73xOh43	wsnap	IDX-RIL__B73xOh43__wsnap	ok	2.4005163398177487e-05	1.2021971976472479e-05	25786119	274496	100920	26060863	25785500	619	0.9109678922678989	1068.89	293.75	1362.64	1362.93
IDX-RIL	B73xCML103	wsnap	IDX-RIL__B73xCML103__wsnap	ok	0.00023269868462416632	0.00011636867265640838	25866068	193644	106140	26060863	25860049	6019	0.8954602063249181	1071.16	284.76	1355.92	1356.21
IDX-RIL	Oh43xIl14H	exact	IDX-RIL__Oh43xIl14H__exact	ok	1.6895005521044837e-05	8.486431344656431e-06	25688065	372798	196772	26060863	25687631	434	0.8975882390287674	1036.16	338.59	1374.75	1374.99
IDX-RIL	Oh43xIl14H	wsnap	IDX-RIL__Oh43xIl14H__wsnap	ok	1.6350704866718857e-06	8.564654930820481e-07	25686966	372798	196772	26060863	25686924	42	0.8975882390287674	1061.64	333.19	1394.83	1395.07
IDX-RIL	B97xCML103	exact	IDX-RIL__B97xCML103__exact	ok	4.7441959049598914e-05	2.3740375256209312e-05	25778868	281995	221573	26060863	25777645	1223	0.8846133599172267	1027.43	325.57	1353.0	1353.25
IDX-RIL	B97xCML103	wsnap	IDX-RIL__B97xCML103__wsnap	ok	4.651194726668084e-05	2.327536977486666e-05	25778323	281995	221573	26060863	25777124	1199	0.8846133599172267	1070.07	329.44	1399.51	1399.76
IDX-RIL	Il14HxB97	exact	IDX-RIL__Il14HxB97__exact	ok	4.835937809144486e-05	2.417968904566692e-05	25827462	233401	82492	26060863	25826213	1249	0.8912204135520302	1050.54	336.43	1386.97	1387.21
IDX-RIL	Il14HxB97	wsnap	IDX-RIL__Il14HxB97__wsnap	ok	4.750889601168318e-05	2.375444800584159e-05	25826742	233401	82492	26060863	25825515	1227	0.8912204135520302	1056.95	326.01	1382.96	1383.24
