sample	role	compared_sites	representability_floor	always_B73_error	best_single_founder	best_single_founder_error
A188	heldout	2568936	0.013912763883568918	0.5191448911144536	NC358	0.42299107490416266
CML459	heldout	2584775	0.010521999013453782	0.5652650617558588	Ki11	0.41243396427155166
EP1	heldout	2524785	0.014786605592159332	0.5716280792225873	Il14H	0.43042674920834845
Ia453	heldout	2547287	0.012971447661767206	0.549976111839773	Il14H	0.30535310705075636
Tx303	heldout	2574042	0.006727939948143814	0.5596520958088484	NC358	0.3799899146944766
B73	control	2606087	0.0	0.0	B73	0.0
B97	control	2588477	0.0	0.5167177456087112	B97	0.0
CML103	control	2584999	0.0	0.561244317696061	CML103	0.0
Il14H	control	2586240	0.0	0.5539733358079684	Il14H	0.0
Oh43	control	2577732	0.0	0.5124392295242485	Oh43	0.0
