dataset_id	class	kind	individual	coverage	realized_coverage	error_rate	partial_error_rate	compared_sites	excluded_no_info	excluded_partial_info	imputed_records	gt_allele_matches	gt_allele_mismatches	matchable_ceiling	align_dropped_idx	align_het_scale	align_het_scale_diagnostic	align_prep_fastq_s	align_refmap_s	align_window_s	align_inference_s	align_write_bed_s	align_align_total_s	bed_to_vcf_s	compare_s	score_total_s	wall_seconds	row_key
IDX-INBRED	indexed	inbred	B73	0.01	0.00997	0.0	0.0	159093518	0	0	160580614	159093518	0		4	0.0	0.4948104524056797	0.17	0.0	0.52	7.79	0.12	8.59	970.18	1288.06	2258.24	2268.76	IDX-INBRED__B73__0.01x
IDX-HYB	indexed	hybrid	B73xOh43	0.01	0.00995	0.015606236236224702	0.0078031181181124065	155889733	1950386	1950386	160580614	153456881	2432852	0.9006425672135329	4	1.0	0.8081688753475851	0.2	8.21	0.44	9.89	0.13	18.88	1090.64	1510.25	2600.89	0.36	IDX-HYB__B73xOh43__0.01x
OUT-INBRED	heldout	inbred	Tx303	0.5	0.50001	0.12931480930476769	0.12931480930476769	157086780	1931042	0	160580614	136773133	20313647	0.7947764312767835	23	0.0	0.0	9.31	275.56	1.9	15.8	4.4	306.97	1028.83	1766.67	2795.5	3104.51	OUT-INBRED__Tx303__0.5x
IDX-INBRED	indexed	inbred	B73	2.0	2.00000	5.604703058326166e-06	5.604703058326166e-06	160579426	0	0	160580614	160578526	900		23	0.0	0.0	38.2	924.78	4.38	27.05	11.57	1005.98	1009.9	1296.96	2306.86	2307.49	IDX-INBRED__B73__2.0x
IDX-INBRED	indexed	inbred	B73	0.1	0.09994	3.42666189645513e-07	3.42666189645513e-07	160506060	0	0	160580614	160506005	55		23	0.0	0.13252075217853987	1.67	53.88	0.89	400.22	1.14	457.8	1188.39	1317.53	2505.92	3004.0	IDX-INBRED__B73__0.1x
IDX-INBRED	indexed	inbred	B73	0.5	0.49969	5.0567326795869505e-06	5.0567326795869505e-06	160577996	0	0	160580614	160577184	812		23	0.0	0.0	8.01	229.24	2.36	222.22	4.38	466.22	1196.13	1315.4	2511.53	3016.6	IDX-INBRED__B73__0.5x
IDX-INBRED	indexed	inbred	B73	1.0	0.99965	1.4323026931162275e-07	1.4323026931162275e-07	160580582	0	0	160580614	160580559	23		23	0.0	0.0	20.14	445.33	3.57	20.19	7.63	496.86	1189.81	1315.97	2505.78	3041.58	IDX-INBRED__B73__1.0x
IDX-INBRED	indexed	inbred	Oh43	0.01	0.01001	1.409766842153104e-07	1.409766842153104e-07	156054174	1950386	0	160580614	156054152	22	0.9006425672135329	23	0.0	0.5436660051757184	0.18	8.01	0.4	8.01	0.12	16.72	1127.65	1713.01	2840.66	3356.47	IDX-INBRED__Oh43__0.01x
IDX-INBRED	indexed	inbred	Oh43	0.1	0.10013	4.6548538166213405e-06	4.6548538166213405e-06	158544184	1950386	0	160580614	158543446	738	0.9006425672135329	23	0.0	0.21419462602380557	2.33	57.15	0.61	10.3	1.02	71.41	1194.68	1708.47	2903.14	3491.78	IDX-INBRED__Oh43__0.1x
IDX-INBRED	indexed	inbred	Il14H	0.1	0.10020	4.69394699065262e-06	4.69394699065262e-06	158502003	1999838	0	160580614	158501259	744	0.8943179293569039	23	0.0	0.1978831915053215	1.96	54.38	0.61	10.05	1.05	68.05	1127.62	1715.07	2842.7	3501.24	IDX-INBRED__Il14H__0.1x
IDX-INBRED	indexed	inbred	Il14H	0.01	0.01000	1.6155720883315183e-07	1.6155720883315183e-07	154743946	1999838	0	160580614	154743921	25	0.8943179293569039	23	0.0	0.5309785022277153	0.21	8.13	0.25	8.54	0.13	17.26	1147.65	1685.56	2833.22	3510.61	IDX-INBRED__Il14H__0.01x
IDX-INBRED	indexed	inbred	Oh43	0.5	0.50008	3.082848294855278e-05	3.082848294855278e-05	158619547	1950386	0	160580614	158614657	4890	0.9006425672135329	23	0.0	0.0	9.59	276.93	2.02	16.76	4.47	309.76	1113.72	1721.32	2835.03	3682.17	IDX-INBRED__Oh43__0.5x
IDX-INBRED	indexed	inbred	Oh43	1.0	0.99998	0.0002587284036690285	0.0002587284036690285	158629665	1950386	0	160580614	158588623	41042	0.9006425672135329	23	0.0	0.0	19.55	506.92	3.65	24.25	7.48	561.86	1058.66	1726.54	2785.2	3853.67	IDX-INBRED__Oh43__1.0x
IDX-INBRED	indexed	inbred	Il14H	0.5	0.50066	1.0795894533233152e-05	1.0795894533233152e-05	158578800	1999838	0	160580614	158577088	1712	0.8943179293569039	23	0.0	0.0	9.37	254.63	2.0	15.94	4.4	286.33	1143.18	1739.58	2882.76	4017.47	IDX-INBRED__Il14H__0.5x
IDX-INBRED	indexed	inbred	Oh43	2.0	2.00000	0.00021277951913312165	0.00021277951913312165	158628989	1950386	0	160580614	158595236	33753	0.9006425672135329	23	0.0	0.0	41.27	1076.93	4.92	26.79	12.05	1161.95	1084.11	1760.32	2844.43	5861.64	IDX-INBRED__Oh43__2.0x
IDX-INBRED	indexed	inbred	Il14H	1.0	1.00021	0.0006358798822732048	0.0006358798822732048	158578692	1999838	0	160580614	158477855	100837	0.8943179293569039	23	0.0	0.0	18.51	533.7	3.34	21.0	7.73	584.28	1112.97	1775.83	2888.79	5893.91	IDX-INBRED__Il14H__1.0x
IDX-INBRED	indexed	inbred	Il14H	2.0	2.00000	0.0006566977520502393	0.0006566977520502393	158578280	1999838	0	160580614	158474142	104138	0.8943179293569039	23	0.0	0.0	42.06	959.45	4.53	26.16	10.79	1042.99	1083.9	1769.39	2853.29	5895.63	IDX-INBRED__Il14H__2.0x
IDX-INBRED	indexed	inbred	B97	0.01	0.01001	1.1594999649311433e-07	1.1594999649311433e-07	155239332	1624677	0	160580614	155239314	18	0.8897479732969611	23	0.0	0.5391418346749308	0.22	7.8	0.23	7.53	0.11	15.88	1087.48	1696.37	2783.84	3137.2	IDX-INBRED__B97__0.01x
