dataset_id	class	kind	individual	coverage	row_key	snprc_compared_sites	snprc_error_rate	snprc_partial_error_rate	snprc_class_total_HOMREF	snprc_class_mismatch_HOMREF	snprc_class_total_SNP	snprc_class_mismatch_SNP	error_rate	partial_error_rate	compared_sites	published_error_rate	published_partial_error_rate	published_compared_sites	regression_match	pairclass_HOMREF_HOMREF	pairclass_HOMREF_SNP	pairclass_HOMREF_INS	pairclass_HOMREF_DEL	pairclass_HOMREF_HET_MIXED	pairclass_SNP_HOMREF	pairclass_SNP_SNP	pairclass_SNP_INS	pairclass_SNP_DEL	pairclass_SNP_HET_MIXED	pairclass_INS_HOMREF	pairclass_INS_SNP	pairclass_INS_INS	pairclass_INS_DEL	pairclass_INS_HET_MIXED	pairclass_DEL_HOMREF	pairclass_DEL_SNP	pairclass_DEL_INS	pairclass_DEL_DEL	pairclass_DEL_HET_MIXED	pairclass_HET_MIXED_HOMREF	pairclass_HET_MIXED_SNP	pairclass_HET_MIXED_INS	pairclass_HET_MIXED_DEL	pairclass_HET_MIXED_HET_MIXED	imputed_missing_gt	excluded_no_info	wall_seconds	status
IDX-HYB	indexed	hybrid	B73xCML103	0.1	IDX-HYB__B73xCML103__0.1x	94248763	0.028493572907688947	0.014246924386689286	71200359	73654	23048404	2611830	0.0729844835957576	0.036492485136438324	158215780	0.0729844835957576	0.036492485136438324	158215780	MATCH	71126705	73654	4441	106917	2	1763697	21284707	2022	14426	204025	13671	542	224596	178	3967	5455975	39573	1516	57679846	215320	0	0	0	0	0	729349	1635485	2129.86	ok
IDX-HYB	indexed	hybrid	B73xOh43	0.1	IDX-HYB__B73xOh43__0.1x	99304087	0.03125765609224118	0.01562883811619964	78099097	50107	21204990	3053906	0.08258384788065043	0.04129193027237743	157926681	0.08258384788065043	0.04129193027237743	157926681	MATCH	78048990	50107	1770	122147	0	2073001	19131989	406	58307	146261	15365	77	199289	730	2643	6535407	48875	1064	51357560	132693	0	0	0	0	0	703547	1950386	2135.66	ok
IDX-HYB	indexed	hybrid	B97xCML103	0.1	IDX-HYB__B97xCML103__0.1x	70617998	0.028780694122764516	0.014390368302426237	45652511	52778	24965487	1979657	0.0551035966457184	0.02755809728960712	157089256	0.0551035966457184	0.02755809728960712	157089256	MATCH	45599733	52778	1055	63310	0	1437129	23528358	275	23986	79665	9494	161	210697	217	2047	3440278	51342	1559	69026628	207726	547	815535	8942	687736	11840058	705144	2786214	2297.87	ok
IDX-HYB	indexed	hybrid	Il14HxB97	0.1	IDX-HYB__Il14HxB97__0.1x	69832813	0.04015752594700717	0.02007876297350364	44743610	63036	25089203	2741277	0.07806520107806658	0.03903261013759218	156273459	0.07806520107806658	0.03903261013759218	156273459	MATCH	44680574	63036	2957	88359	0	1890127	23199076	249	24560	85734	11932	279	203381	218	2208	4972102	64288	1007	67996391	322311	0	1110010	10427	899335	10644898	1043746	3263409	2319.29	ok
IDX-HYB	indexed	hybrid	Oh43xIl14H	0.1	IDX-HYB__Oh43xIl14H__0.1x	70064231	0.041433081596228494	0.020717604108150378	44881691	53012	25182540	2849965	0.07313754477250478	0.03657126353178097	156353772	0.07313754477250478	0.03657126353178097	156353772	MATCH	44828679	53012	7030	51332	1	1995223	23187317	820	21098	97279	12250	95	205348	167	2077	4718521	33030	1782	68603124	214578	32	878634	8192	680798	10753353	954891	3271951	2318.33	ok
IDX-INBRED	indexed	inbred	B73	0.1	IDX-INBRED__B73__0.1x	160506060	3.42666189645513e-07	3.42666189645513e-07	160506060	55	0	0	3.42666189645513e-07	3.42666189645513e-07	160506060	3.42666189645513e-07	3.42666189645513e-07	160506060	MATCH	160506005	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74554	0	1949.74	ok_cached
IDX-INBRED	indexed	inbred	B97	0.1	IDX-INBRED__B97__0.1x	100564535	0.0	0.0	78906720	0	21657815	0	1.1961197776688692e-07	1.1961197776688692e-07	158846968	1.1961197776688692e-07	1.1961197776688692e-07	158846968	MATCH	78906720	0	0	0	0	0	21657815	0	0	0	0	0	224919	0	0	19	0	0	58057495	0	0	0	0	0	0	108969	1624677	2316.79	ok
IDX-INBRED	indexed	inbred	CML103	0.1	IDX-INBRED__CML103__0.1x	94909668	0.0	0.0	71503243	0	23406425	0	1.447725903602759e-07	1.447725903602759e-07	158869852	1.447725903602759e-07	1.447725903602759e-07	158869852	MATCH	71503243	0	0	0	0	0	23406425	0	0	0	0	0	244417	0	0	23	0	0	63715744	0	0	0	0	0	0	75277	1635485	2361.85	ok
IDX-INBRED	indexed	inbred	Il14H	0.1	IDX-INBRED__Il14H__0.1x	95127733	0.0	0.0	71929080	0	23198653	0	4.69394699065262e-06	4.69394699065262e-06	158502003	4.69394699065262e-06	4.69394699065262e-06	158502003	MATCH	71929080	0	0	0	0	0	23198653	0	0	0	0	0	221758	0	0	28	0	716	63151768	0	0	0	0	0	0	78773	1999838	2330.77	ok
IDX-INBRED	indexed	inbred	Oh43	0.1	IDX-INBRED__Oh43__0.1x	99875807	5.5769261518845425e-06	5.5769261518845425e-06	78349658	280	21526149	277	4.6548538166213405e-06	4.6548538166213405e-06	158544184	4.6548538166213405e-06	4.6548538166213405e-06	158544184	MATCH	78349378	280	1	27	0	267	21525882	2	103	0	2	0	219341	0	0	33	13	0	58448855	0	0	0	0	0	0	86044	1950386	2324.87	ok
