assemblyA	assemblyB	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
C009-T009	C011-T007	1	0	1100	0.553808909789644	0.0	316416	0.9900257888349514	0.9933947714401294	0.4471392091423948
C009-T009	C011-T007	1	1	1101	0.4776559971682848	0.0	316416	0.9883191747572816	0.9925414644012945	0.5200621966019418
C009-T009	C011-T007	1	2	1102	0.5351594103964401	0.0	316416	0.9882433252427184	0.9925035396440129	0.4605424504449838
C009-T009	C011-T007	1	3	1103	0.4605456108414239	0.0	316416	0.9872983667071198	0.9920310603762136	0.5381048998786407
C009-T009	C011-T007	1	4	1104	0.46019164644012944	0.0	316416	0.989355784789644	0.9930597694174758	0.5350993628640777
C009-T009	C011-T007	2	0	1200	0.4404486498786408	0.0	316416	0.9873584142394822	0.9920610841423948	0.5595197461569579
C009-T009	C011-T007	2	1	1201	0.48145795408576053	0.0	316416	0.9879083232200647	0.992336038632686	0.5175496814320388
C009-T009	C011-T007	2	2	1202	0.528977674959547	0.0	316416	0.988600450040453	0.9926821020428802	0.47254247572815533
C009-T009	C011-T007	2	3	1203	0.5550414644012945	0.0	316416	0.9871277052993528	0.9919457296723301	0.4432297987459547
C009-T009	C011-T007	2	4	1204	0.6114355784789643	0.0	316416	0.9869475627022654	0.9918556583737864	0.3851764765372168
C009-T009	C011-T007	5	0	1500	0.5274290807038835	0.0	316416	0.9878482756877023	0.9923060148665048	0.46889537823624594
C009-T009	C011-T007	5	1	1501	0.514819098907767	0.0	316416	0.9854463743932039	0.9911050642192557	0.4798429915048544
C009-T009	C011-T007	5	2	1502	0.5188201608009708	0.0	316416	0.9855127427184466	0.991138248381877	0.4770333990695793
C009-T009	C011-T007	5	3	1503	0.5166900536003236	0.0	316416	0.9834648058252428	0.9901142799352751	0.47650245246763756
C009-T009	C011-T007	5	4	1504	0.4574168183656958	0.0	316416	0.9864387388754046	0.991601246460356	0.5335855329692557
C009-T009	C011-T007	10	0	2000	0.5493053448624595	0.0	316416	0.9847226436084142	0.9907431988268608	0.4437038582119741
C009-T009	C011-T007	10	1	2001	0.4623691595873786	0.0	316416	0.9830255107200647	0.989894632382686	0.5307696197411004
C009-T009	C011-T007	10	2	2002	0.49414694579288027	0.0	316416	0.9815875303398058	0.9891756421925566	0.4999557544498382
C009-T009	C011-T007	10	3	2003	0.5059289037216829	0.0	316416	0.981224084749191	0.9889939193972492	0.4850481644417476
C009-T009	C011-T007	10	4	2004	0.5106789795711975	0.0	316416	0.9831866909385113	0.9899752224919094	0.4827853205906149
C009-T009	C027-T007	1	0	1100	0.5503433719758064	0.0	317440	0.9900831653225807	0.9934286794354839	0.4490265877016129
C009-T009	C027-T007	1	1	1101	0.4738218245967742	0.0	317440	0.9884828629032258	0.9926285282258065	0.5251197076612903
C009-T009	C027-T007	1	2	1102	0.5379189768145162	0.0	317440	0.9872448336693549	0.992009513608871	0.4581653225806452
C009-T009	C027-T007	1	3	1103	0.46625819052419354	0.0	317440	0.9866116431451613	0.9916929183467742	0.5328723538306451
C009-T009	C027-T007	1	4	1104	0.45955456149193546	0.0	317440	0.9892641129032258	0.9930191532258065	0.5361800655241935
C009-T009	C027-T007	2	0	1200	0.44282069052419354	0.0	317440	0.9875157510080645	0.9921449722782258	0.558039314516129
C009-T009	C027-T007	2	1	1201	0.48432774697580644	0.0	317440	0.9863816784274193	0.9915779359879032	0.5156313004032258
C009-T009	C027-T007	2	2	1202	0.5288432459677419	0.0	317440	0.9880607358870968	0.992417464717742	0.47225302419354837
C009-T009	C027-T007	2	3	1203	0.5599168346774194	0.0	317440	0.9862840221774194	0.9915291078629033	0.4402406754032258
C009-T009	C027-T007	2	4	1204	0.6113501764112903	0.0	317440	0.9868605090725806	0.9918173513104839	0.3863470262096774
C009-T009	C027-T007	5	0	1500	0.5298481602822581	0.0	317440	0.9872794858870968	0.992026839717742	0.4691059727822581
C009-T009	C027-T007	5	1	1501	0.5083543346774193	0.0	317440	0.9837418094758065	0.9902580015120968	0.4843718497983871
C009-T009	C027-T007	5	2	1502	0.5168031754032258	0.0	317440	0.9839906754032258	0.9903824344758064	0.47829511088709675
C009-T009	C027-T007	5	3	1503	0.5165133568548387	0.0	317440	0.9825730846774193	0.9896736391129032	0.4752520161290323
C009-T009	C027-T007	5	4	1504	0.45432837701612905	0.0	317440	0.9867975050403226	0.9917858492943549	0.5392798639112903
C009-T009	C027-T007	10	0	2000	0.550034652217742	0.0	317440	0.9838016633064516	0.9902879284274193	0.4441500756048387
C009-T009	C027-T007	10	1	2001	0.46526902721774194	0.0	317440	0.9811617943548387	0.988967993951613	0.5240202872983871
C009-T009	C027-T007	10	2	2002	0.49759009576612906	0.0	317440	0.9804719002016129	0.988623046875	0.4956086189516129
C009-T009	C027-T007	10	3	2003	0.5078566028225806	0.0	317440	0.9815335181451613	0.9891538558467742	0.48414188508064515
C009-T009	C027-T007	10	4	2004	0.5107327368951613	0.0	317440	0.9820154989919355	0.9893948462701613	0.4824029737903226
C009-T009	C050-T007	1	0	1100	0.5515662680868167	0.0	318464	0.9883000904340836	0.9925423281752411	0.4450675743569132
C009-T009	C050-T007	1	1	1101	0.4772062148311897	0.0	318464	0.9882153084807074	0.992499937198553	0.5219051446945338
C009-T009	C050-T007	1	2	1102	0.5371407757234726	0.0	318464	0.9872450261254019	0.9920147960209004	0.4577220659163987
C009-T009	C050-T007	1	3	1103	0.46120126607717044	0.0	318464	0.9876909163987139	0.9922377411575563	0.5359726688102894
C009-T009	C050-T007	1	4	1104	0.46269908058681675	0.0	318464	0.9884508139067524	0.9926176899115756	0.5311400974678456
