n_founders	founder_set	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
4	C009-T009+C011-T007+C027-T007+C050-T007	1	0	42100	0.762488501635323	0.0	626176	0.978822248058054	0.9861292991107932	0.22885099396974654
4	C009-T009+C011-T007+C027-T007+C050-T007	1	1	42101	0.7197066000613246	0.0	626176	0.9711790295380213	0.9823156748262469	0.26749348426001635
4	C009-T009+C011-T007+C027-T007+C050-T007	1	2	42102	0.584137686529027	0.0	626176	0.9618014743458708	0.9776292927228127	0.3884099678045789
4	C009-T009+C011-T007+C027-T007+C050-T007	1	3	42103	0.7683925924979559	0.0	626176	0.9810165193172526	0.9872368152085037	0.2295840147179068
4	C009-T009+C011-T007+C027-T007+C050-T007	1	4	42104	0.5808382946647588	0.0	626176	0.96309663736713	0.9782744787408013	0.39964802228127555
4	C009-T009+C011-T007+C027-T007+C050-T007	2	0	42200	0.7294961799877351	0.0	626176	0.981085190106296	0.9872711506030254	0.2672060251430908
4	C009-T009+C011-T007+C027-T007+C050-T007	2	1	42201	0.7609521923548651	0.0	626176	0.9795345078699919	0.9864910184995912	0.23869327473426002
4	C009-T009+C011-T007+C027-T007+C050-T007	2	2	42202	0.821031147792314	0.0	626176	0.9699605222812756	0.9817088166905151	0.1654407067661488
4	C009-T009+C011-T007+C027-T007+C050-T007	2	3	42203	0.7760853178659035	0.0	626176	0.9784741031275552	0.9859624131234669	0.21572529129190515
4	C009-T009+C011-T007+C027-T007+C050-T007	2	4	42204	0.7795284392886345	0.0	626176	0.971057657910875	0.9822046836672118	0.2113798676410466
4	C009-T009+C011-T007+C027-T007+C050-T007	5	0	42500	0.7318405687857726	0.0	626176	0.9704955156377759	0.9819563509300899	0.25025392221995096
4	C009-T009+C011-T007+C027-T007+C050-T007	5	1	42501	0.7571944628986099	0.0	626176	0.9632275909648406	0.9783343660568274	0.22551806520850368
4	C009-T009+C011-T007+C027-T007+C050-T007	5	2	42502	0.7966210777800491	0.0	626176	0.9705721714022895	0.9819962758074408	0.19334819603434178
4	C009-T009+C011-T007+C027-T007+C050-T007	5	3	42503	0.6927828597710548	0.0	626176	0.9703246371627147	0.9818836876533116	0.2914532016557645
4	C009-T009+C011-T007+C027-T007+C050-T007	5	4	42504	0.6840329236508585	0.0	626176	0.9753966935813573	0.9843989549264105	0.30575429272281274
4	C009-T009+C011-T007+C027-T007+C050-T007	10	0	43000	0.7260131336876533	0.0	626176	0.9707159009607522	0.982062551103843	0.26462368407604253
4	C009-T009+C011-T007+C027-T007+C050-T007	10	1	43001	0.760739792007359	0.0	626176	0.9737805345461978	0.983551749029027	0.23253685864677023
4	C009-T009+C011-T007+C027-T007+C050-T007	10	2	43002	0.7830226645543745	0.0	626176	0.9733828827677842	0.9833185877452985	0.209394802739166
4	C009-T009+C011-T007+C027-T007+C050-T007	10	3	43003	0.7637820676614882	0.0	626176	0.9711742385527392	0.9822653694807849	0.22156869634096485
4	C009-T009+C011-T007+C027-T007+C050-T007	10	4	43004	0.7336100393499592	0.0	626176	0.9683491542313982	0.9808624092906787	0.25631771259198693
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	0	62100	0.753701578133228	0.0	972288	0.8032105713533438	0.8992268751645603	0.08627587710637177
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	1	62101	0.8831930456819379	0.0	972288	0.9353514596498157	0.9652978335637178	0.08950331588994208
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	2	62102	0.8283790399552396	0.0	972288	0.8913922623749342	0.9433233774354923	0.09447715080305424
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	3	62103	0.8026109547788309	0.0	972288	0.8994577738283307	0.9473551046603476	0.13265205371248026
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	4	62104	0.7744361752896262	0.0	972288	0.8461515518035808	0.9207019936479727	0.09561775934702475
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	0	62200	0.8180734514876251	0.0	972288	0.8894072538177988	0.942313902876514	0.10168489171932596
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	1	62201	0.7791971103212217	0.0	972288	0.8960585752369669	0.945647277349921	0.1474141406661401
